territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,1996,"Formação Florestal",3,16017.1359
"Figueirópolis D'Oeste",5103809,MT,1996,"Agricultura",18,9.0489
"Figueirópolis D'Oeste",5103809,MT,1996,"Rio, Lago e Oceano",33,343.7202
"Figueirópolis D'Oeste",5103809,MT,1996,"Outras Áreas não Vegetadas",25,15.6773
"Figueirópolis D'Oeste",5103809,MT,1996,"Campo Alagado e Área Pantanosa",11,319.6347
"Figueirópolis D'Oeste",5103809,MT,1996,"Floresta Alagável",6,1880.2270
"Figueirópolis D'Oeste",5103809,MT,1996,"Afloramento Rochoso",29,480.8021
"Figueirópolis D'Oeste",5103809,MT,1996,"Pastagem",15,68264.1309
"Figueirópolis D'Oeste",5103809,MT,1996,"Área Urbanizada",24,89.5760
"Figueirópolis D'Oeste",5103809,MT,1996,"Formação Savânica",4,689.0437
"Figueirópolis D'Oeste",5103809,MT,1996,"Floresta",1,18586.4065
"Figueirópolis D'Oeste",5103809,MT,1996,"Vegetação Herbácea e Arbustiva",10,1835.3739
"Figueirópolis D'Oeste",5103809,MT,1996,"Agropecuária",14,68273.1798
"Figueirópolis D'Oeste",5103809,MT,1996,"Área não Vegetada",22,105.2533
"Figueirópolis D'Oeste",5103809,MT,1996,"Corpo D'Água",26,343.7202
"Figueirópolis D'Oeste",5103809,MT,1997,"Outras Lavouras Temporárias",41,7.6694
"Figueirópolis D'Oeste",5103809,MT,1997,"Lavoura Temporária",19,7.6694
"Figueirópolis D'Oeste",5103809,MT,1997,"Formação Campestre",12,1023.9446
"Figueirópolis D'Oeste",5103809,MT,1997,"Formação Florestal",3,14618.8472
"Figueirópolis D'Oeste",5103809,MT,1997,"Agricultura",18,7.6694
"Figueirópolis D'Oeste",5103809,MT,1997,"Rio, Lago e Oceano",33,328.1782
"Figueirópolis D'Oeste",5103809,MT,1997,"Outras Áreas não Vegetadas",25,22.3578
"Figueirópolis D'Oeste",5103809,MT,1997,"Campo Alagado e Área Pantanosa",11,261.5546
"Figueirópolis D'Oeste",5103809,MT,1997,"Floresta Alagável",6,1668.9897
"Figueirópolis D'Oeste",5103809,MT,1997,"Afloramento Rochoso",29,481.2333
"Figueirópolis D'Oeste",5103809,MT,1997,"Pastagem",15,70004.1962
"Figueirópolis D'Oeste",5103809,MT,1997,"Área Urbanizada",24,92.3774
"Figueirópolis D'Oeste",5103809,MT,1997,"Formação Savânica",4,634.5854
"Figueirópolis D'Oeste",5103809,MT,1997,"Floresta",1,16922.4223
"Figueirópolis D'Oeste",5103809,MT,1997,"Vegetação Herbácea e Arbustiva",10,1766.7324
"Figueirópolis D'Oeste",5103809,MT,1997,"Agropecuária",14,70011.8657
"Figueirópolis D'Oeste",5103809,MT,1997,"Área não Vegetada",22,114.7352
"Figueirópolis D'Oeste",5103809,MT,1997,"Corpo D'Água",26,328.1782
"Figueirópolis D'Oeste",5103809,MT,1998,"Outras Lavouras Temporárias",41,8.7097
"Figueirópolis D'Oeste",5103809,MT,1998,"Lavoura Temporária",19,8.7097
"Figueirópolis D'Oeste",5103809,MT,1998,"Formação Campestre",12,1050.4485
"Figueirópolis D'Oeste",5103809,MT,1998,"Formação Florestal",3,13204.9916
"Figueirópolis D'Oeste",5103809,MT,1998,"Agricultura",18,8.7097
"Figueirópolis D'Oeste",5103809,MT,1998,"Rio, Lago e Oceano",33,262.9801
"Figueirópolis D'Oeste",5103809,MT,1998,"Outras Áreas não Vegetadas",25,24.6885
"Figueirópolis D'Oeste",5103809,MT,1998,"Campo Alagado e Área Pantanosa",11,253.2576
"Figueirópolis D'Oeste",5103809,MT,1998,"Floresta Alagável",6,1580.4181
"Figueirópolis D'Oeste",5103809,MT,1998,"Afloramento Rochoso",29,480.3824
"Figueirópolis D'Oeste",5103809,MT,1998,"Pastagem",15,71639.9737
"Figueirópolis D'Oeste",5103809,MT,1998,"Área Urbanizada",24,92.4558
"Figueirópolis D'Oeste",5103809,MT,1998,"Formação Savânica",4,545.6278
"Figueirópolis D'Oeste",5103809,MT,1998,"Floresta",1,15331.0375
"Figueirópolis D'Oeste",5103809,MT,1998,"Vegetação Herbácea e Arbustiva",10,1784.0884
"Figueirópolis D'Oeste",5103809,MT,1998,"Agropecuária",14,71648.6834
"Figueirópolis D'Oeste",5103809,MT,1998,"Área não Vegetada",22,117.1443
"Figueirópolis D'Oeste",5103809,MT,1998,"Corpo D'Água",26,262.9801
"Figueirópolis D'Oeste",5103809,MT,1999,"Outras Lavouras Temporárias",41,63.4329
"Figueirópolis D'Oeste",5103809,MT,1999,"Lavoura Temporária",19,63.4329
"Figueirópolis D'Oeste",5103809,MT,1999,"Formação Campestre",12,1000.1866
"Figueirópolis D'Oeste",5103809,MT,1999,"Formação Florestal",3,11857.5647
"Figueirópolis D'Oeste",5103809,MT,1999,"Agricultura",18,63.4329
"Figueirópolis D'Oeste",5103809,MT,1999,"Rio, Lago e Oceano",33,368.6023
"Figueirópolis D'Oeste",5103809,MT,1999,"Outras Áreas não Vegetadas",25,17.3939
"Figueirópolis D'Oeste",5103809,MT,1999,"Campo Alagado e Área Pantanosa",11,205.7213
"Figueirópolis D'Oeste",5103809,MT,1999,"Floresta Alagável",6,1410.6953
"Figueirópolis D'Oeste",5103809,MT,1999,"Afloramento Rochoso",29,480.5550
"Figueirópolis D'Oeste",5103809,MT,1999,"Pastagem",15,73162.8690
"Figueirópolis D'Oeste",5103809,MT,1999,"Área Urbanizada",24,93.1480
"Figueirópolis D'Oeste",5103809,MT,1999,"Formação Savânica",4,483.7647
"Figueirópolis D'Oeste",5103809,MT,1999,"Floresta",1,13752.0248
"Figueirópolis D'Oeste",5103809,MT,1999,"Vegetação Herbácea e Arbustiva",10,1686.4629
"Figueirópolis D'Oeste",5103809,MT,1999,"Agropecuária",14,73226.3019
"Figueirópolis D'Oeste",5103809,MT,1999,"Área não Vegetada",22,110.5419
"Figueirópolis D'Oeste",5103809,MT,1999,"Corpo D'Água",26,368.6023
"Figueirópolis D'Oeste",5103809,MT,2000,"Outras Lavouras Temporárias",41,73.5191
