territorio,geocode,estado,ano,variavel,chave,unidade,valor
Jauru,5105002,MT,2022,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,175.374610
Jauru,5105002,MT,2023,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,162.951093
Jauru,5105002,MT,2024,Nº anual dias sem chuva,atmosphere_annual_number_of_days_without_rain,dias,182.116198
Jauru,5105002,MT,1985,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,9.344086
Jauru,5105002,MT,1986,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,9.182796
Jauru,5105002,MT,1987,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,6.655914
Jauru,5105002,MT,1988,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,10.870968
Jauru,5105002,MT,1989,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.236559
Jauru,5105002,MT,1990,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,6.236559
Jauru,5105002,MT,1991,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.290323
Jauru,5105002,MT,1992,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,3.763441
Jauru,5105002,MT,1993,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,0.473118
Jauru,5105002,MT,1994,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.817204
Jauru,5105002,MT,1995,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.182796
Jauru,5105002,MT,1996,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.236559
Jauru,5105002,MT,1997,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.655914
Jauru,5105002,MT,1998,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,11.128685
Jauru,5105002,MT,1999,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.774887
Jauru,5105002,MT,2000,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.799168
Jauru,5105002,MT,2001,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,2.628165
Jauru,5105002,MT,2002,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,3.227194
Jauru,5105002,MT,2003,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.677419
Jauru,5105002,MT,2004,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.637530
Jauru,5105002,MT,2005,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.788068
Jauru,5105002,MT,2006,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,9.772459
Jauru,5105002,MT,2007,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.083593
Jauru,5105002,MT,2008,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.678807
Jauru,5105002,MT,2009,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.395421
Jauru,5105002,MT,2010,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,7.174124
Jauru,5105002,MT,2011,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,8.808186
Jauru,5105002,MT,2012,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,9.245924
Jauru,5105002,MT,2013,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,3.479362
Jauru,5105002,MT,2014,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,12.650017
Jauru,5105002,MT,2015,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,3.596948
Jauru,5105002,MT,2016,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.141866
Jauru,5105002,MT,2017,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,9.973985
Jauru,5105002,MT,2018,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,2.513354
Jauru,5105002,MT,2019,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,6.168228
Jauru,5105002,MT,2020,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,2.072494
Jauru,5105002,MT,2021,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,7.044745
Jauru,5105002,MT,2022,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,5.689559
Jauru,5105002,MT,2023,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,4.701006
Jauru,5105002,MT,2024,Nº anual dias chuva persistente,atmosphere_annual_number_of_days_with_persistent_rain,dias,0.748526
Lambari D'Oeste,5105234,MT,1985,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.201975
Lambari D'Oeste,5105234,MT,1986,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.979108
Lambari D'Oeste,5105234,MT,1987,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.672967
Lambari D'Oeste,5105234,MT,1988,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.087106
Lambari D'Oeste,5105234,MT,1989,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.095230
Lambari D'Oeste,5105234,MT,1990,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.060239
Lambari D'Oeste,5105234,MT,1991,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.495443
Lambari D'Oeste,5105234,MT,1992,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.079050
Lambari D'Oeste,5105234,MT,1993,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.477282
Lambari D'Oeste,5105234,MT,1994,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.851984
Lambari D'Oeste,5105234,MT,1995,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.929956
Lambari D'Oeste,5105234,MT,1996,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.037373
Lambari D'Oeste,5105234,MT,1997,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.982187
Lambari D'Oeste,5105234,MT,1998,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.582183
Lambari D'Oeste,5105234,MT,1999,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.108104
Lambari D'Oeste,5105234,MT,2000,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.485320
Lambari D'Oeste,5105234,MT,2001,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.786410
Lambari D'Oeste,5105234,MT,2002,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.070212
Lambari D'Oeste,5105234,MT,2003,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.869714
Lambari D'Oeste,5105234,MT,2004,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.135989
Lambari D'Oeste,5105234,MT,2005,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.095716
Lambari D'Oeste,5105234,MT,2006,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.677297
Lambari D'Oeste,5105234,MT,2007,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.677471
Lambari D'Oeste,5105234,MT,2008,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.447708
Lambari D'Oeste,5105234,MT,2009,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.380118
Lambari D'Oeste,5105234,MT,2010,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.369960
Lambari D'Oeste,5105234,MT,2011,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.540821
Lambari D'Oeste,5105234,MT,2012,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.238966
Lambari D'Oeste,5105234,MT,2013,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.544742
Lambari D'Oeste,5105234,MT,2014,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.293151
Lambari D'Oeste,5105234,MT,2015,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.987125
Lambari D'Oeste,5105234,MT,2016,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,17.482989
Lambari D'Oeste,5105234,MT,2017,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.019296
Lambari D'Oeste,5105234,MT,2018,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.124192
Lambari D'Oeste,5105234,MT,2019,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.230725
Lambari D'Oeste,5105234,MT,2020,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.119123
Lambari D'Oeste,5105234,MT,2021,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,18.576184
Lambari D'Oeste,5105234,MT,2022,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,16.827633
Lambari D'Oeste,5105234,MT,2023,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.158871
Lambari D'Oeste,5105234,MT,2024,Temperatura mínima anual do ar,atmosphere_annual_minimum_air_temperature,°C,19.474324
Jauru,5105002,MT,1985,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.733938
Jauru,5105002,MT,1986,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.730974
Jauru,5105002,MT,1987,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.804615
Jauru,5105002,MT,1988,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.830130
Jauru,5105002,MT,1989,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.643489
Jauru,5105002,MT,1990,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.635998
Jauru,5105002,MT,1991,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.706312
Jauru,5105002,MT,1992,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.620759
Jauru,5105002,MT,1993,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.780119
Jauru,5105002,MT,1994,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.729575
Jauru,5105002,MT,1995,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.844199
Jauru,5105002,MT,1996,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.705510
Jauru,5105002,MT,1997,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.801824
Jauru,5105002,MT,1998,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.692636
Jauru,5105002,MT,1999,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.781754
Jauru,5105002,MT,2000,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.774785
Jauru,5105002,MT,2001,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.799402
Jauru,5105002,MT,2002,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.846227
Jauru,5105002,MT,2003,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.834192
Jauru,5105002,MT,2004,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.886975
Jauru,5105002,MT,2005,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.813560
Jauru,5105002,MT,2006,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.823866
Jauru,5105002,MT,2007,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.878981
Jauru,5105002,MT,2008,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.874451
Jauru,5105002,MT,2009,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.797796
Jauru,5105002,MT,2010,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,1.053108
Jauru,5105002,MT,2011,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.878800
Jauru,5105002,MT,2012,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.830698
Jauru,5105002,MT,2013,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.735398
Jauru,5105002,MT,2014,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.715154
Jauru,5105002,MT,2015,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.853713
Jauru,5105002,MT,2016,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.796433
Jauru,5105002,MT,2017,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.810907
Jauru,5105002,MT,2018,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.782294
Jauru,5105002,MT,2019,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.949964
Jauru,5105002,MT,2020,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,1.256716
Jauru,5105002,MT,2021,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,0.997459
Jauru,5105002,MT,2022,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,1.008631
Jauru,5105002,MT,2023,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,1.051678
Jauru,5105002,MT,2024,Déficit pressão de vapor anual,atmosphere_annual_vapor_pressure_deficit,kPa,1.209420
Jauru,5105002,MT,2003,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,18.428649
Jauru,5105002,MT,2004,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,26.192125
Jauru,5105002,MT,2005,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,21.166972
Jauru,5105002,MT,2006,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,16.355891
Jauru,5105002,MT,2007,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,26.257359
Jauru,5105002,MT,2008,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,14.932203
Jauru,5105002,MT,2009,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,10.010108
Jauru,5105002,MT,2010,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,32.549620
Jauru,5105002,MT,2011,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,8.798915
Jauru,5105002,MT,2012,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,12.444154
Jauru,5105002,MT,2013,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,8.803245
Jauru,5105002,MT,2014,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,10.391416
Jauru,5105002,MT,2015,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,16.923442
Jauru,5105002,MT,2016,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,11.729710
Jauru,5105002,MT,2017,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,12.207422
Jauru,5105002,MT,2018,PM2.5 anual,atmosphere_annual_fine_particulate_matter_pm2_5,µg/m³,9.665906
